;index;municipio;Estado;ano;Código do Prestador;Prestador;Sigla do Prestador;Abrangência;Tipo de serviço;Natureza jurídica;POP_TOT;POP_URB;AG006;AG011;AG018;AG021;ES009;FN006;FN033;FN048;FN058;IN023;IN024;IN046;IN049;IN055;IN056;IN075;IN076;IN079;IN080;IN084;IN085;SNSI4;SNSI1;SNSI2;SNSI5;cod_ibge;TCE01;TCE02;TCE03;TCE04;TCE05;TCE06;TCE13;TCE14;TCE15;TCE16;TCE17;TCE18;TCE19;TCE20;TCE21;TCE26;TCE28;TCE29
0;2;Adamantina;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;35048;33131;2804.14;2518.56;0.0;15478.0;15191.0;11847653.59;728147.88;;;100.0;100.0;82.27;23.5;99.04;98.02;0.3;0.0;100.0;100.0;0.3;100.0;0.10184227606324936;0.6133560930929693;0.48501522789797386;0.3740830804622257;3500105;possui registro;100,00;99,60;100,00;sim;Lei 11.445/2007;parcialmente;sim;tabela 9 pag.31 Plano de Saneamento Municipal;sim;tabela 9 pag.31 Plano de Saneamento Municipal;sim;tabela 9 pag.31 Plano de Saneamento Municipal;sim;tabela 9 pag.31 Plano de Saneamento Municipal;sim;sim;sim
1;10;Adolfo;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3623;3259;240.82;260.11;0.0;1665.0;1659.0;1112177.88;102032.26;;;100.0;100.0;85.2;7.59;100.0;100.0;0.0;0.0;100.0;100.0;0.0;100.0;-0.08010132048833163;1.0;1.0;-1.1706955124384995;3500204;possui registro;100,00;100,00;100,00;não;;parcialmente;sim;prevenção;sim;Durante visita in loco, verificamos a construção de uma creche com estrutura para provisão e armazenamento de água potável.;não;;não;;sim;não;sim
2;22;Águas da Prata;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;8025;7165;707.58;644.67;0.0;4119.0;3630.0;2819647.35;589648.04;;;100.0;97.57;72.39;27.5;94.85;87.12;0.0;0.0;120.0;119.79;0.0;119.58;0.08890867463749696;0.2658821208691948;0.1713844570252189;0.2649815482560316;3500402;possui registro;100,00;80,00;90,00;sim;Lei 2199 DE 04/01/2016;parcialmente;sim;CAMPANHA PARA ECONOMIA DE AGUA E PARCERIA COM A SABESP VISANDO A CONSERVAÇÃO DOS MANANCIAIS.;não;;não;;sim;DISTRIBUIÇÃO DE AGUA ATRAVÉS DE CAMINHÃO PIPA E INSTALAÇÃO CAPTAÇÃO EMERGENCIAL DE AGUA BRUTA.;sim;não;sim
3;30;Águas de Lindóia;SP;2015;35005011;Saneamento Ambiental de Águas de Lindóia;SAAE;Local;Água e Esgoto;Autarquia;18313;18149;2354.5;2126.08;0.0;7801.0;6846.0;7125153.65;1200361.77;;7903.74;100.0;99.45;20.81;35.67;99.1;98.56;1.23;1.27;100.0;100.0;9.29;100.0;0.09701422807390103;0.7555720343408601;0.822661884998187;-1.1128651420105087;3500501;possui registro;99,00;95,00;30,00;não;;parcialmente;sim;deposito de aguas , e aquisicao de novas caixas de agua tratada;não;;não;;não;;não;não;sim
4;38;Águas de Santa Bárbara;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;5944;4520;697.36;419.07;0.0;2675.0;1884.0;1854014.32;876551.69;;;89.09;64.14;61.56;51.27;67.75;48.77;6.06;2.29;110.0;109.17;3.2;104.17;0.3990621773545945;0.060501447057830574;0.04992725619011432;-0.11588519656702471;3500550;possui registro;99,00;80,00;100,00;não;;parcialmente;não;;não;;não;;não;;sim;não;sim
5;46;Águas de São Pedro;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3139;3139;629.98;529.19;0.0;2446.0;2226.0;2984940.44;2283984.76;;;92.29;86.49;0.0;30.16;92.29;86.49;0.0;0.0;111.67;111.67;0.0;108.33;0.15998920600653987;0.25515660990814815;0.10085130314590196;0.30482515940612653;3500600;possui registro;100,00;97,00;;sim;Lei 1644/2012;parcialmente;sim;Existem 02 mananciais, sendo um deles o Ribeirão Araquá, usado nos períodos de estiagem.;não;;não;;não;;sim;não;sim
6;54;Agudos;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;36524;34904;3060.13;2466.01;0.0;13709.0;;6521118.72;4535594.03;;;100.0;99.65;0.0;27.06;98.34;95.23;0.0;0.15;101.97;101.97;0.15;101.67;0.19414861460134047;0.6553364753022053;;0.21479532733538748;3500709;possui registro;99,00;99,00;0,00;não;;sim, para todos os órgãos e entidades;sim;Transferência de Água entre Sistema e Serviço Emergencial com caminhões tanque.;sim;Transferência de Água entre Sistema e Serviço Emergencial com caminhões tanque.;sim;Transferência de Água entre Sistema e Serviço Emergencial com caminhões tanque.;sim;Transferência de Água entre Sistema e Serviço Emergencial com caminhões tanque.;sim;não;sim
7;62;Alambari;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;5560;4180;349.95;308.51;0.0;2008.0;1215.0;1126312.12;98806.01;;;100.0;63.73;50.07;29.02;79.3;47.91;0.38;0.0;110.83;110.0;0.39;107.92;0.11841691670238608;0.1875514308778774;0.023651058035894037;0.0795167607565624;3500758;não possui registro;;;;sim;Lei 610, de 03.11.2014;parcialmente;não;;não;;não;;não;;não;não;sim
8;70;Alfredo Marcondes;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4101;3431;285.05;273.41;0.0;1845.0;1666.0;1129252.66;88645.17;;;100.0;100.0;78.17;20.77;95.64;88.44;0.0;0.0;100.0;100.0;0.0;100.0;0.04083494123837916;0.3485422740524783;0.15518130805700509;-0.4629206913564663;3500808;possui registro;100,00;99,00;100,00;sim;Outro Plano Municipal de Saneamento Básico Eaborado pela Sabesp;parcialmente;sim;Brigada de incêndio, caminhão pipa.;não;;não;;sim;Poços reserva;sim;não;sim
9;78;Altair;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4060;3216;210.1;197.17;0.0;1261.0;1208.0;874069.39;19743.58;;;100.0;98.88;81.69;20.19;80.25;78.33;2.41;0.0;120.83;120.0;0.34;120.83;0.06154212279866733;0.04902868598157606;0.045689054283822764;-0.028625922905468847;3500907;possui registro;100,00;100,00;100,00;não;;sim, para todos os órgãos e entidades;sim;Ações de Prevenção.;sim;Trabalho de Educação Ambiental.;sim;Trabalho de Educação Ambiental. - Monitoramento ESF.;sim;Contrato Firmado Com empresa Terceirizada;sim;não;sim
